지점번호,지점명,일시,일조합,일조율,일사합
108,서울,Jan00,1083,3533,13093
108,서울,Feb00,1393,445,28938
108,서울,Mar00,1528,4119,3895
108,서울,Apr00,1566,3961,4409
108,서울,May00,1383,3142,44369
108,서울,Jun00,133,3013,44337
108,서울,Jul00,1082,2414,39851
108,서울,Aug00,1128,2681,3505
108,서울,Sep00,1164,3123,31717
108,서울,Oct00,1313,3773,29177
108,서울,Nov00,1026,3365,21358
108,서울,Dec00,1066,3571,19319
108,서울,Jan01,97,3158,2058
108,서울,Feb01,117,3869,25631
108,서울,Mar01,151,408,39653
108,서울,Apr01,1778,4537,49204
108,서울,May01,1631,3734,50443
108,서울,Jun01,1009,2292,35931
108,서울,Jul01,824,1838,32267
108,서울,Aug01,1687,4003,43166
108,서울,Sep01,1796,4792,40566
108,서울,Oct01,1268,3633,28437
108,서울,Nov01,1181,3857,23581
108,서울,Dec01,1229,4114,23638
108,서울,Jan02,1005,3271,20368
108,서울,Feb02,1039,3434,30467
108,서울,Mar02,1286,3468,45561
108,서울,Apr02,1724,4363,53906
108,서울,May02,175,3978,56916
108,서울,Jun02,1629,3687,56818
108,서울,Jul02,841,1874,39892
108,서울,Aug02,524,1243,3148
108,서울,Sep02,1194,3198,3918
108,서울,Oct02,1467,4207,39209
108,서울,Nov02,945,3092,24798
108,서울,Dec02,81,2711,21018
108,서울,Jan03,923,3006,24247
108,서울,Feb03,95,314,27569
108,서울,Mar03,1043,2817,39106
108,서울,Apr03,1258,3187,44066
108,서울,May03,1707,3881,58605
108,서울,Jun03,1018,2303,42235
108,서울,Jul03,866,1929,42074
108,서울,Aug03,83,1969,39198
108,서울,Sep03,1004,2687,37337
108,서울,Oct03,1957,5609,36904
108,서울,Nov03,114,3724,1805
108,서울,Dec03,1801,6025,20857
108,서울,Jan04,1764,5752,23467
108,서울,Feb04,1861,5936,30649
108,서울,Mar04,2216,5967,46592
108,서울,Apr04,2103,5316,51608
108,서울,May04,1669,3788,50725
108,서울,Jun04,1515,3428,47528
108,서울,Jul04,854,1904,31698
108,서울,Aug04,1478,3512,46931
108,서울,Sep04,1682,4513,41576
108,서울,Oct04,2526,7261,43326
108,서울,Nov04,1567,5131,23397
108,서울,Dec04,1931,6465,2258
108,서울,Jan05,1915,6232,25619
108,서울,Feb05,1778,5872,31092
108,서울,Mar05,2219,598,46652
108,서울,Apr05,1995,5047,51809
108,서울,May05,2353,5344,60392
108,서울,Jun05,1383,313,46511
108,서울,Jul05,794,177,37121
108,서울,Aug05,1031,2447,36884
108,서울,Sep05,1137,3022,3341
108,서울,Oct05,200,5745,35612
108,서울,Nov05,1725,5648,26197
108,서울,Dec05,2041,706,24105
108,서울,Jan06,1611,5244,22759
108,서울,Feb06,1726,5704,29692
108,서울,Mar06,2019,5445,43942
108,서울,Apr06,136,3442,40721
108,서울,May06,1991,4527,54155
108,서울,Jun06,1558,3525,46924
108,서울,Jul06,343,764,25315
108,서울,Aug06,1771,4202,48373
108,서울,Sep06,1957,5241,44425
108,서울,Oct06,1852,5311,34349
108,서울,Nov06,1535,5025,23089
108,서울,Dec06,1594,5335,2039
108,서울,Jan07,1819,5923,23234
108,서울,Feb07,1715,5671,28189
108,서울,Mar07,1471,3971,32194
108,서울,Apr07,1918,4859,47464
108,서울,May07,1973,4486,52335
108,서울,Jun07,1752,3964,50144
108,서울,Jul07,915,2038,39034
108,서울,Aug07,1057,2507,36081
108,서울,Sep07,851,2278,28698
108,서울,Oct07,1709,4898,33032
108,서울,Nov07,1885,6162,26171
108,서울,Dec07,1408,4711,19398
108,서울,Jan08,1665,5423,22664
108,서울,Feb08,2242,7152,34596
108,서울,Mar08,1873,5042,39028
108,서울,Apr08,2081,5259,49697
108,서울,May08,2138,4852,5605
108,서울,Jun08,1738,3932,52113
108,서울,Jul08,787,1755,33623
108,서울,Aug08,1966,4672,49357
108,서울,Sep08,1846,4953,41531
108,서울,Oct08,1851,5322,33682
108,서울,Nov08,1697,5557,24452
108,서울,Dec08,157,5256,20388
108,서울,Jan09,2106,6853,26332
108,서울,Feb09,1256,4147,23899
108,서울,Mar09,2027,5462,42554
108,서울,Apr09,2045,5172,51766
108,서울,May09,2402,5454,61291
108,서울,Jun09,181,4094,54915
108,서울,Jul09,1158,2581,43775
108,서울,Aug09,1509,3582,46559
108,서울,Sep09,2016,5405,47384
108,서울,Oct09,2363,6788,4163
108,서울,Nov09,1301,426,23539
108,서울,Dec09,1461,4891,21866
108,서울,Jan10,1679,5465,25747
108,서울,Feb10,1412,4666,28104
108,서울,Mar10,133,3587,3511
108,서울,Apr10,1663,4209,45841
108,서울,May10,1785,4059,53571
108,서울,Jun10,203,4591,58111
108,서울,Jul10,898,2001,41055
108,서울,Aug10,965,2289,36507
108,서울,Sep10,1464,3922,37365
108,서울,Oct10,1946,5584,38132
108,서울,Nov10,1803,5902,28001
108,서울,Dec10,1578,5283,22167
108,서울,Jan11,2185,7115,30849
108,서울,Feb11,1666,5507,30318
108,서울,Mar11,2402,6483,50661
108,서울,Apr11,2021,512,50497
108,서울,May11,1804,4102,52985
108,서울,Jun11,1708,3864,49272
108,서울,Jul11,804,1791,34233
108,서울,Aug11,94,223,37891
108,서울,Sep11,1804,4829,44939
108,서울,Oct11,2153,6381,36429
108,서울,Nov11,1295,4233,18983
108,서울,Dec11,1956,6544,21583
108,서울,Jan12,1905,6205,2345
108,서울,Feb12,2249,7174,32525
108,서울,Mar12,1918,5163,36751
108,서울,Apr12,2125,5372,44848
108,서울,May12,2513,5704,5534
